hp,lp,sum,accel,gyro
-0.040049,-0.098909,-0.138957,-0.139559,-0.115748
-0.039008,-0.099814,-0.138822,-0.144178,-0.115503
-0.038165,-0.100675,-0.138839,-0.142844,-0.115439
-0.037422,-0.101567,-0.138989,-0.145297,-0.115460
-0.036747,-0.102434,-0.139181,-0.144928,-0.115535
-0.036106,-0.103254,-0.139360,-0.143437,-0.115631
-0.035457,-0.104090,-0.139547,-0.145061,-0.115705
-0.034936,-0.104811,-0.139747,-0.140127,-0.115897
-0.034540,-0.105660,-0.140199,-0.147235,-0.116206
-0.034225,-0.106523,-0.140747,-0.148803,-0.116589
-0.033958,-0.107582,-0.141540,-0.159497,-0.117015
-0.033717,-0.108582,-0.142299,-0.157583,-0.117463
-0.033534,-0.109478,-0.143012,-0.153398,-0.117963
-0.033521,-0.110230,-0.143750,-0.147054,-0.118635
-0.033738,-0.110880,-0.144617,-0.142718,-0.119540
-0.033971,-0.111629,-0.145600,-0.148337,-0.120467
-0.033939,-0.112394,-0.146333,-0.149913,-0.121127
-0.033667,-0.113013,-0.146680,-0.143308,-0.121543
-0.033318,-0.113449,-0.146767,-0.134838,-0.121873
-0.033006,-0.113920,-0.146926,-0.137000,-0.122235
-0.032690,-0.114334,-0.147025,-0.134609,-0.122587
-0.032329,-0.114701,-0.147030,-0.132691,-0.122885
-0.031954,-0.114894,-0.146847,-0.124318,-0.123162
-0.031586,-0.115107,-0.146694,-0.125591,-0.123439
-0.031101,-0.115258,-0.146359,-0.122647,-0.123588
-0.030447,-0.115460,-0.145908,-0.125368,-0.123556
-0.029504,-0.115826,-0.145331,-0.133756,-0.123215
-0.028267,-0.116389,-0.144655,-0.143933,-0.122555
-0.026835,-0.116852,-0.143687,-0.139567,-0.121671
-0.025453,-0.117449,-0.142902,-0.146699,-0.120808
-0.024317,-0.117995,-0.142312,-0.144750,-0.120169
-0.023560,-0.118652,-0.142212,-0.150841,-0.119892
-0.023120,-0.119331,-0.142450,-0.152590,-0.119924
-0.022835,-0.120039,-0.142874,-0.154740,-0.120105
-0.022597,-0.120710,-0.143307,-0.153600,-0.120328
-0.022459,-0.121370,-0.143828,-0.153697,-0.120648
-0.022323,-0.121921,-0.144244,-0.148928,-0.120967
-0.022137,-0.122557,-0.144694,-0.153731,-0.121234
-0.021830,-0.123174,-0.145004,-0.153404,-0.121372
-0.021404,-0.123850,-0.145253,-0.156942,-0.121383
-0.020934,-0.124432,-0.145366,-0.152974,-0.121340
-0.020463,-0.124997,-0.145460,-0.152681,-0.121287
-0.020096,-0.125340,-0.145436,-0.142145,-0.121330
-0.019788,-0.125774,-0.145562,-0.147050,-0.121426
-0.019402,-0.126217,-0.145620,-0.147937,-0.121436
-0.018837,-0.126585,-0.145421,-0.144573,-0.121255
-0.018043,-0.126921,-0.144964,-0.143412,-0.120829
-0.017139,-0.127288,-0.144427,-0.145271,-0.120275
-0.016149,-0.127791,-0.143940,-0.152455,-0.119615
-0.015189,-0.128124,-0.143313,-0.144430,-0.118965
-0.014603,-0.128517,-0.143121,-0.147775,-0.118677
-0.014510,-0.128895,-0.143405,-0.147401,-0.118880
-0.014929,-0.129120,-0.144049,-0.140128,-0.119604
-0.015769,-0.129328,-0.145097,-0.139562,-0.120765
-0.016800,-0.129595,-0.146395,-0.142636,-0.122139
-0.017842,-0.130039,-0.147881,-0.151827,-0.123545
-0.018905,-0.130482,-0.149387,-0.152171,-0.124994
-0.020114,-0.130735,-0.150848,-0.143120,-0.126613
-0.021632,-0.130909,-0.152541,-0.139452,-0.128573

received SIGINT Ctrl-C

Exiting Cleanly
