hp,lp,sum,accel,gyro
-0.303935,-0.718205,-1.022140,-1.008610,-1.017920
-0.297031,-0.724070,-1.021101,-1.011438,-1.017079
-0.290370,-0.729873,-1.020244,-1.014216,-1.016344
-0.283968,-0.735478,-1.019446,-1.010106,-1.015737
-0.277767,-0.740821,-1.018588,-1.002663,-1.015204
-0.271637,-0.746081,-1.017718,-1.003796,-1.014618
-0.265327,-0.751267,-1.016595,-1.005394,-1.013723
-0.258685,-0.756428,-1.015112,-1.009290,-1.012360
-0.251611,-0.761348,-1.012959,-1.002461,-1.010421
-0.244105,-0.766219,-1.010324,-1.004886,-1.007896
-0.236205,-0.770915,-1.007120,-1.001006,-1.004818
-0.227911,-0.775355,-1.003266,-0.992938,-1.001174
-0.219240,-0.779679,-0.998919,-0.991560,-0.996977
-0.210115,-0.783760,-0.993875,-0.983711,-0.992141
-0.200516,-0.787500,-0.988016,-0.970779,-0.986634
-0.190356,-0.791179,-0.981536,-0.971441,-0.980359
-0.179607,-0.794577,-0.974184,-0.961067,-0.973275
-0.168279,-0.797859,-0.966138,-0.958656,-0.965382
-0.156364,-0.800927,-0.957290,-0.951268,-0.956657
-0.143945,-0.803846,-0.947791,-0.946873,-0.947176
-0.131138,-0.806519,-0.937657,-0.937495,-0.937046
-0.118107,-0.809045,-0.927152,-0.932846,-0.926425
-0.104930,-0.811457,-0.916387,-0.929636,-0.915389
-0.091942,-0.813465,-0.905408,-0.911853,-0.904278
-0.079330,-0.815118,-0.894448,-0.896128,-0.893284
-0.066855,-0.816520,-0.883374,-0.885177,-0.882174
-0.054274,-0.817516,-0.871790,-0.866344,-0.870701
-0.041695,-0.818178,-0.859872,-0.850593,-0.858972
-0.029179,-0.818693,-0.847872,-0.843929,-0.847052
-0.016694,-0.818696,-0.835390,-0.818830,-0.834908
-0.004386,-0.818622,-0.823008,-0.814998,-0.822689
0.007707,-0.818494,-0.810787,-0.812260,-0.810439
0.019736,-0.817809,-0.798073,-0.784231,-0.798007
0.031712,-0.817157,-0.785445,-0.785194,-0.785384
0.043856,-0.816383,-0.772527,-0.778441,-0.772345
0.056122,-0.815261,-0.759139,-0.760325,-0.758933
0.068216,-0.813795,-0.745578,-0.741933,-0.745447
0.079912,-0.812121,-0.732209,-0.730090,-0.732121
0.091217,-0.810211,-0.718994,-0.716625,-0.718954
0.102192,-0.808320,-0.706128,-0.715673,-0.705894
0.112989,-0.806169,-0.693180,-0.700765,-0.692791
0.123622,-0.803745,-0.680124,-0.684974,-0.679635
0.134251,-0.801303,-0.667052,-0.681617,-0.666266
0.145252,-0.798893,-0.653641,-0.680820,-0.652300
0.156681,-0.796299,-0.639618,-0.669171,-0.637674
0.168079,-0.793034,-0.624955,-0.633090,-0.622846
0.178790,-0.789478,-0.610688,-0.615200,-0.608486
0.188577,-0.785763,-0.597186,-0.603721,-0.594850
0.197698,-0.781887,-0.584188,-0.591964,-0.581694
0.206324,-0.777302,-0.570978,-0.552634,-0.568858
0.214339,-0.772922,-0.558583,-0.558318,-0.556469
0.221922,-0.768519,-0.546597,-0.552787,-0.544357
0.229364,-0.763821,-0.534457,-0.533588,-0.532234
0.236730,-0.759090,-0.522360,-0.527280,-0.520037
0.244042,-0.754396,-0.510354,-0.524404,-0.507744
0.251480,-0.749572,-0.498091,-0.513161,-0.495174
0.258947,-0.744394,-0.485447,-0.490679,-0.482423
0.266327,-0.739080,-0.472753,-0.478698,-0.469607
0.273559,-0.733826,-0.460267,-0.476400,-0.456792
0.280814,-0.728400,-0.447586,-0.462514,-0.443807
0.288299,-0.723229,-0.434929,-0.469825,-0.430438
0.296345,-0.718004,-0.421659,-0.462001,-0.416344
0.305033,-0.712374,-0.407340,-0.436495,-0.401430
0.314039,-0.706335,-0.392296,-0.410446,-0.386016
0.323042,-0.699906,-0.376864,-0.384867,-0.370421
0.331812,-0.693227,-0.361415,-0.365944,-0.354878
0.340334,-0.686432,-0.346098,-0.353500,-0.339411
0.348571,-0.679436,-0.330865,-0.336619,-0.324060
0.356393,-0.672380,-0.315988,-0.326651,-0.308965
0.363890,-0.665310,-0.301419,-0.318862,-0.294041
0.371291,-0.658216,-0.286925,-0.310606,-0.279064
0.378783,-0.650809,-0.272026,-0.287863,-0.263841
0.386418,-0.643674,-0.257256,-0.294054,-0.248320
0.394401,-0.636591,-0.242190,-0.289547,-0.232288
0.402705,-0.629387,-0.226682,-0.276358,-0.215765
0.410801,-0.621736,-0.210935,-0.246871,-0.199286
0.418025,-0.613993,-0.195968,-0.234583,-0.183531
0.424134,-0.605825,-0.181692,-0.205598,-0.168766
0.428899,-0.597325,-0.168426,-0.180810,-0.155248
0.432149,-0.588728,-0.156579,-0.167484,-0.143178
0.434061,-0.580221,-0.146161,-0.163376,-0.132409
0.435026,-0.571856,-0.136831,-0.161979,-0.122566
0.435073,-0.563482,-0.128409,-0.153154,-0.113639
0.434076,-0.555298,-0.121222,-0.154275,-0.105777
0.432045,-0.547246,-0.115201,-0.152703,-0.098991
0.429073,-0.539110,-0.110038,-0.140449,-0.093207
0.425012,-0.530974,-0.105962,-0.132282,-0.088594
0.419925,-0.522835,-0.102909,-0.124007,-0.085111
0.413886,-0.514755,-0.100869,-0.118859,-0.082703
0.407122,-0.506904,-0.099782,-0.122220,-0.081159
0.399836,-0.498951,-0.099115,-0.109222,-0.080285
0.392131,-0.491168,-0.099037,-0.109800,-0.079987
0.384080,-0.483418,-0.099339,-0.103699,-0.080200
0.375855,-0.475740,-0.099885,-0.099502,-0.080754
0.367618,-0.468125,-0.100507,-0.094968,-0.081489
0.359514,-0.460491,-0.100977,-0.086437,-0.082256
0.351499,-0.452860,-0.101361,-0.078929,-0.083097
0.343602,-0.445151,-0.101548,-0.067411,-0.083982
0.335864,-0.437586,-0.101722,-0.066912,-0.084866
0.328385,-0.430307,-0.101922,-0.073635,-0.085643
0.321326,-0.423199,-0.101873,-0.074926,-0.086144
0.314827,-0.416330,-0.101503,-0.079721,-0.086219
0.308916,-0.409563,-0.100647,-0.078004,-0.085825
0.303448,-0.402797,-0.099349,-0.071259,-0.085100
0.298308,-0.396054,-0.097745,-0.065625,-0.084152
0.293334,-0.389679,-0.096345,-0.077311,-0.083140
0.288417,-0.383447,-0.095030,-0.078082,-0.082171
0.283526,-0.377435,-0.093909,-0.082844,-0.081276
0.278544,-0.371875,-0.093331,-0.099458,-0.080573
0.273527,-0.366605,-0.093079,-0.108386,-0.080008
0.268745,-0.361424,-0.092679,-0.107538,-0.079305
0.264404,-0.356331,-0.091927,-0.106774,-0.078250
0.260504,-0.351168,-0.090663,-0.098153,-0.076834
0.256818,-0.345975,-0.089157,-0.091552,-0.075278
0.253185,-0.340739,-0.087553,-0.084137,-0.073744
0.249593,-0.335653,-0.086059,-0.086445,-0.072242
0.245948,-0.330768,-0.084820,-0.091413,-0.070868
0.242313,-0.326207,-0.083894,-0.102721,-0.069558
0.238876,-0.321846,-0.082969,-0.108150,-0.068120
0.235769,-0.317549,-0.081780,-0.107022,-0.066415
0.233152,-0.313468,-0.080316,-0.113502,-0.064274
0.231120,-0.309063,-0.077943,-0.093218,-0.061590
0.229483,-0.304340,-0.074857,-0.072921,-0.058543
0.228046,-0.299667,-0.071620,-0.070661,-0.055326
0.226951,-0.294789,-0.067838,-0.055769,-0.051789
0.226442,-0.289691,-0.063249,-0.039908,-0.047677
0.226726,-0.284976,-0.058251,-0.053948,-0.042767
0.228205,-0.280512,-0.052307,-0.061746,-0.036631
0.231157,-0.276288,-0.045131,-0.069326,-0.028961
0.235846,-0.272321,-0.036475,-0.077908,-0.019459
0.242038,-0.268078,-0.026039,-0.060172,-0.008327
0.249328,-0.263444,-0.014116,-0.036404,0.004052
0.257130,-0.258262,-0.001131,-0.004313,0.017101
0.264943,-0.253089,0.011854,0.000355,0.030321
0.272652,-0.247911,0.024741,0.005796,0.043594
0.280551,-0.242994,0.037558,-0.002032,0.057219
0.289159,-0.238125,0.051034,0.000461,0.071728
0.298597,-0.233041,0.065556,0.016065,0.087260
0.308744,-0.227345,0.081399,0.051756,0.103707
0.319376,-0.221194,0.098183,0.080225,0.120858
0.330287,-0.214279,0.116008,0.124534,0.138510
0.341053,-0.206819,0.134235,0.158748,0.156236
0.352209,-0.198262,0.153947,0.221008,0.174579
0.362432,-0.190805,0.171627,0.174576,0.192199
0.372576,-0.183872,0.188704,0.155861,0.209946
0.382130,-0.176697,0.205433,0.174877,0.227299
0.391536,-0.169246,0.222289,0.195847,0.244695
0.401024,-0.161490,0.239534,0.218548,0.262368
0.410584,-0.153285,0.257299,0.248790,0.280307
0.420287,-0.144549,0.275738,0.283494,0.298587
0.429816,-0.135133,0.294683,0.326268,0.316888
0.438852,-0.125483,0.313369,0.347363,0.334880
0.447269,-0.116128,0.331142,0.342283,0.352425
0.455403,-0.107153,0.348250,0.332621,0.369853
0.463719,-0.098790,0.364928,0.310958,0.387632
0.472515,-0.090123,0.382392,0.334579,0.406072
0.481428,-0.081162,0.400266,0.357937,0.424810
0.490601,-0.071517,0.419085,0.401101,0.443995
0.499842,-0.060881,0.438960,0.460251,0.463437
0.508740,-0.049764,0.458977,0.494991,0.482718
0.517200,-0.038316,0.478884,0.522609,0.501733
0.525136,-0.027020,0.498116,0.526500,0.520386
0.532328,-0.015508,0.516820,0.548562,0.538442
0.538667,-0.003972,0.534695,0.561298,0.555774
0.544075,0.007330,0.551406,0.561160,0.572285
0.548425,0.018640,0.567065,0.572790,0.587827
0.551550,0.029588,0.581138,0.566077,0.602208
0.553902,0.039927,0.593829,0.546497,0.615865
0.556385,0.049952,0.606337,0.541188,0.629703
0.559403,0.060186,0.619589,0.561656,0.644137
0.562570,0.070724,0.633294,0.587116,0.658785
0.565516,0.081865,0.647381,0.627743,0.673272
0.568216,0.093486,0.661702,0.662912,0.687568
0.570684,0.105210,0.675894,0.679700,0.701683
0.572644,0.116985,0.689629,0.693959,0.715329
0.573749,0.128526,0.702275,0.694016,0.728144
0.574061,0.139879,0.713940,0.696186,0.740171
0.573833,0.150967,0.724801,0.694302,0.751655
0.573339,0.161661,0.735000,0.685652,0.762861
0.573043,0.172053,0.745096,0.681276,0.774259
0.573128,0.182417,0.755545,0.690210,0.786041
0.573191,0.192891,0.766082,0.706131,0.797802
0.572741,0.203796,0.776537,0.738136,0.809040
0.570974,0.215018,0.785992,0.764918,0.818926
0.567228,0.226171,0.793399,0.772680,0.826756
0.561541,0.237665,0.799206,0.800858,0.832529
0.554653,0.249106,0.803759,0.809691,0.836961
0.547141,0.260247,0.807388,0.806177,0.840615
0.539382,0.271057,0.810439,0.800720,0.843864
0.531570,0.281597,0.813167,0.798094,0.846900
0.523768,0.291952,0.815720,0.799339,0.849787
0.515725,0.302235,0.817960,0.806104,0.852269
0.507227,0.312602,0.819829,0.820586,0.854122
0.498105,0.322912,0.821018,0.828105,0.855166
0.488373,0.333186,0.821559,0.836602,0.855401
0.478282,0.343579,0.821861,0.852834,0.855070
0.467965,0.353882,0.821846,0.858721,0.854303
0.457572,0.363743,0.821314,0.846918,0.853249
0.447199,0.373293,0.820492,0.841267,0.852003
0.437055,0.382716,0.819771,0.844440,0.850777
0.427228,0.391803,0.819030,0.837047,0.849670
0.417723,0.400843,0.818566,0.843842,0.848690
0.408345,0.409885,0.818230,0.852913,0.847646
0.398800,0.418931,0.817731,0.862184,0.846239
0.388924,0.427592,0.816517,0.851996,0.844301
0.378807,0.436019,0.814826,0.848940,0.841914
0.368642,0.444070,0.812712,0.838549,0.839273
0.358566,0.451694,0.810259,0.825262,0.836514
0.348638,0.458924,0.807562,0.813200,0.833701
0.338888,0.465900,0.804788,0.807738,0.830868
0.329282,0.472662,0.801944,0.804021,0.827981
0.319648,0.479139,0.798787,0.796504,0.824870
0.309966,0.485364,0.795330,0.790361,0.821515
0.300228,0.491328,0.791556,0.783596,0.817903
0.290361,0.496922,0.787283,0.771033,0.813962
0.280304,0.502218,0.782523,0.761709,0.809626
0.269740,0.507076,0.776816,0.745129,0.804566
0.258666,0.511714,0.770379,0.738942,0.798771
0.247103,0.516315,0.763418,0.741761,0.792252
0.235114,0.520784,0.755899,0.739805,0.785061
0.222499,0.525225,0.747724,0.742822,0.776986
0.209301,0.529287,0.738587,0.728307,0.768060
0.195771,0.533183,0.728954,0.724104,0.758525
0.182189,0.536794,0.718983,0.713721,0.748661
0.168753,0.540111,0.708864,0.702663,0.738669
0.155481,0.543248,0.698729,0.696926,0.728570
0.142255,0.545756,0.688012,0.668675,0.718248
0.128845,0.548016,0.676861,0.658735,0.707467
0.114962,0.550304,0.665266,0.662425,0.695931
0.100741,0.552360,0.653101,0.653084,0.683765
0.086230,0.554263,0.640493,0.647535,0.671014
0.071352,0.555511,0.626863,0.616653,0.657592
0.056092,0.555806,0.611898,0.570238,0.643477
0.040762,0.556280,0.597042,0.579509,0.628979
0.025425,0.556433,0.581858,0.563931,0.614161
0.010239,0.556117,0.566356,0.540651,0.599183
-0.004634,0.555485,0.550851,0.524484,0.584216
-0.019177,0.554959,0.535782,0.529218,0.569281
-0.033545,0.554297,0.520752,0.521848,0.554229
-0.047855,0.553675,0.505820,0.523204,0.538943
-0.062108,0.552877,0.490768,0.513748,0.523422
-0.076327,0.551789,0.475462,0.498482,0.507645
-0.090700,0.550057,0.459357,0.465203,0.491421
-0.105109,0.547793,0.442684,0.436868,0.474867
-0.119439,0.545048,0.425609,0.410527,0.458100
-0.133451,0.542056,0.408606,0.395471,0.441364
-0.147005,0.538960,0.391955,0.387233,0.424810
-0.160142,0.536084,0.375942,0.395137,0.408405
-0.173162,0.533624,0.360462,0.413099,0.391851
-0.186193,0.531662,0.345469,0.435543,0.375020
-0.199173,0.529465,0.330292,0.421805,0.357975
-0.212018,0.526453,0.314435,0.378845,0.340803
-0.224627,0.522628,0.298001,0.335208,0.323610
-0.237109,0.517381,0.280272,0.260312,0.306289
-0.249373,0.511485,0.262112,0.222562,0.288936
-0.261319,0.505030,0.243711,0.188718,0.271657
-0.272723,0.498492,0.225769,0.178151,0.254687
-0.283690,0.491574,0.207884,0.152593,0.237931
-0.294417,0.484675,0.190259,0.146624,0.221195
-0.305482,0.477836,0.172354,0.142710,0.203896
-0.317203,0.471107,0.153904,0.141407,0.185701
-0.329734,0.464247,0.134513,0.128088,0.166441
-0.343163,0.457206,0.114043,0.112188,0.146009
-0.357419,0.450089,0.092670,0.101371,0.124459
-0.372058,0.442844,0.070787,0.087853,0.102227
-0.386613,0.435231,0.048618,0.062161,0.079782
-0.400887,0.427789,0.026902,0.063163,0.057326
-0.415033,0.420631,0.005598,0.069873,0.034710
-0.428989,0.413627,-0.015362,0.070422,0.011999
-0.442855,0.406438,-0.036417,0.054182,-0.010904
-0.456004,0.398232,-0.057773,-0.003877,-0.033360
-0.468087,0.389654,-0.078433,-0.030657,-0.054996
-0.479009,0.380751,-0.098259,-0.055516,-0.075694
-0.488429,0.371395,-0.117035,-0.087041,-0.095082
-0.496575,0.362303,-0.134272,-0.083176,-0.113362
-0.503754,0.353262,-0.150492,-0.089747,-0.130821
-0.509954,0.344115,-0.165840,-0.104120,-0.147429
-0.514934,0.334557,-0.180377,-0.133770,-0.162918
-0.518291,0.324697,-0.193594,-0.158466,-0.176851
-0.519481,0.314384,-0.205098,-0.190948,-0.188644
-0.518101,0.303588,-0.214513,-0.225377,-0.197837
-0.514264,0.292656,-0.221608,-0.243022,-0.204495
-0.507768,0.282235,-0.225533,-0.228405,-0.208362
-0.498970,0.272319,-0.226651,-0.213560,-0.209747
-0.488479,0.262580,-0.225899,-0.214631,-0.209225
-0.476716,0.252907,-0.223809,-0.221091,-0.207190
-0.464070,0.243239,-0.220831,-0.230455,-0.204016
-0.450864,0.233745,-0.217118,-0.231474,-0.200010
-0.437253,0.224245,-0.213008,-0.241248,-0.195323
-0.423288,0.215060,-0.208229,-0.235040,-0.189997
-0.409352,0.206369,-0.202983,-0.219458,-0.184415
